Scheme,DXCC,Reference,Name,Type,Lat,Long,Locator
FBOTA,227,B/F-5888,CRETE de CRISTOL 2,WW1,44.985393,6.57966,JN34GX
FBOTA,227,B/F-5889,CRETE de CRISTOL 3,WW1,44.985295,6.580186,JN34GX
FBOTA,227,B/F-5890,COL de BUFFERE Est 2,WW1,44.985069,6.561147,JN34GX
FBOTA,227,B/F-5891,CRETE de CRISTOL 1,WW1,44.984848,6.57833,JN34GX
FBOTA,227,B/F-5892,CRETE de CRISTOL,WW1,44.984817,6.579414,JN34GX
FBOTA,227,B/F-5893,COL de BUFFERE Est,WW1,44.984389,6.559586,JN34GX
FBOTA,227,B/F-5894,PORTE de CRISTOL 2,WW1,44.983581,6.592124,JN34HX
FBOTA,227,B/F-5895,PORTE de CRISTOL 1,WW1,44.983417,6.591264,JN34HX
FBOTA,227,B/F-5896,COL de l'OULE 1,WW1,44.983121,6.599539,JN34HX
FBOTA,227,B/F-5897,COTE de la RATIERE,WW1,44.982351,6.562478,JN34GX
FBOTA,227,B/F-5898,GARDIOLE 1,WW1,44.981478,6.599913,JN34HX
FBOTA,227,B/F-5899,COL de l'OULE 2,WW1,44.98135,6.600893,JN34HX
FBOTA,227,B/F-5900,GARDIOLE 2,WW1,44.980366,6.596804,JN34HX
FBOTA,227,B/F-5901,Les CIBIERES - COL de l'OULE 3,WW1,44.976936,6.60187,JN34HX
FBOTA,227,B/F-5902,COL de CIBIERES,WW1,44.975996,6.597365,JN34HX
FBOTA,227,B/F-5903,CRETE CIBIERES-GRANON a,WW1,44.970875,6.601982,JN34HX
FBOTA,227,B/F-5904,CRETE CIBIERES-GRANON b,WW1,44.969644,6.602891,JN34HX
FBOTA,227,B/F-5905,CRETE CIBIERES-GRANON c,WW1,44.969446,6.603022,JN34HX
FBOTA,227,B/F-5906,COL de GRANON Annexe 2,WW1,44.967004,6.615572,JN34HX
FBOTA,227,B/F-5907,COL de GRANON Annexe,WW1,44.966908,6.615768,JN34HX
FBOTA,227,B/F-5908,COL de GRANON,WW1,44.966632,6.616023,JN34HX
FBOTA,227,B/F-5909,COL de GRANON Est,WW1,44.966273,6.616812,JN34HX
FBOTA,227,B/F-5910,CRETE du GRAND MEYRET 1,WW1,44.965564,6.61904,JN34HX
FBOTA,227,B/F-5911,CRETE du GRAND MEYRET 2,WW1,44.965317,6.619958,JN34HX
FBOTA,227,B/F-5912,CRETE du GRAND MEYRET 3,WW1,44.965173,6.620849,JN34HX
FBOTA,227,B/F-5913,CRETE du GRAND MEYRET,WW1,44.965116,6.620083,JN34HX
FBOTA,227,B/F-5914,COL de GRANON,WW1,44.963635,6.608066,JN34HX
FBOTA,227,B/F-5915,PETIT MEYRET Abri 3,WW1,44.961327,6.623235,JN34HX
FBOTA,227,B/F-5916,PETIT MEYRET Abri 1,WW1,44.961056,6.619298,JN34HX
FBOTA,227,B/F-5917,PETIT MEYRET Abri 2,WW1,44.961029,6.621835,JN34HX
FBOTA,227,B/F-5918,PETIT MEYRET Abri 4,WW1,44.960955,6.623269,JN34HX
FBOTA,227,B/F-5919,PETIT MEYRET Abri 5,WW1,44.960804,6.623327,JN34HX
FBOTA,227,B/F-5920,PETIT MEYRET Abri 6,WW1,44.959667,6.625014,JN34HX
FBOTA,227,B/F-5921,COL de BARTEAUX 1,WW1,44.959657,6.625877,JN34HX
FBOTA,227,B/F-5922,COL de GRANON Sud,WW1,44.958136,6.60506,JN34HW
FBOTA,227,B/F-5923,PAS de la FANFARE 2,WW1,44.95806,6.703491,JN34IW
FBOTA,227,B/F-5924,COL de BARTEAUX Nord,WW1,44.95744,6.619529,JN34HW
FBOTA,227,B/F-5925,PAS de la FANFARE,WW1,44.957373,6.703121,JN34IW
FBOTA,227,B/F-5926,COL de BARTEAUX 3,WW1,44.957153,6.631432,JN34HW
FBOTA,227,B/F-5927,PAS de la FANFARE 1,WW1,44.95707,6.703235,JN34IW
FBOTA,227,B/F-5928,PAS de la FANFARE 3,WW1,44.957003,6.705953,JN34IW
FBOTA,227,B/F-5929,COL de BARTEAUX Sud,WW1,44.956952,6.619712,JN34HW
FBOTA,227,B/F-5930,PAS de la FANFARE 4,WW1,44.956915,6.706429,JN34IW
FBOTA,227,B/F-5931,COL de BARTEAUX 2,WW1,44.956638,6.628523,JN34HW
FBOTA,227,B/F-5932,COL de BARTEAUX Abri 1,WW1,44.955761,6.628239,JN34HW
FBOTA,227,B/F-5933,COL de BARTEAUX Abri 2,WW1,44.954635,6.628066,JN34HW
